"com","lib_com","dep","reg","business_crea","nb_crimes","nb_households","pop","income","com_type","party","tax_rate","motorway","iqr_income","nb_businesses","crime_rate"
"84003","Apt","84",93,0.0876106172800064,50,6656.54664741153,12238,2,"C","Left",0.356199979782104,0,13586,1130,0.00751140233043256
"84007","Avignon","84",93,0.129119947552681,596,53649.597573592,93968,2,"C","Left",0.374199986457825,1,16666,8829,0.0111091234036277
"84019","Bollène","84",93,0.118072286248207,101,6901.91724905949,13842,2,"I","Centre & Others",0.349900007247925,1,14996,830,0.0146336150312093
"84031","Carpentras","84",93,0.115059219300747,125,14824.0273274247,29678,2,"B","Left",0.354900002479553,1,15736,2364,0.00843225644685287
"84035","Cavaillon","84",93,0.113365679979324,102,13812.5498013592,27188,2,"B","Right",0.33380001783371,1,14294,2267,0.00738458875927187
"84054","L' Isle-sur-la-Sorgue","84",93,0.10242871940136,83,10989.0435427079,19987,3,"B","Right",0.327000021934509,1,15299,1894,0.00755297762516166
"84080","Monteux","84",93,0.116446577012539,50,5849.93463742768,12909,2,"B","Left",0.33390000462532,1,13250,833,0.00854710404456517
"84087","Orange","84",93,0.125526934862137,129,14289.0996940709,30234,2,"B","Centre & Others",0.351199984550476,1,15132,2135,0.00902786059037205
"84089","Pertuis","84",93,0.107244722545147,132,10063.3762018663,20050,3,"I","Right",0.267900019884109,1,15768,1753,0.0131168702582658
"84092","Le Pontet","84",93,0.111790396273136,61,7873.14166374884,17760,2,"B","Centre & Others",0.374199986457825,1,14864,1145,0.00774786007990545
"84129","Sorgues","84",93,0.134399995207787,56,8771.47089323799,18467,2,"B","Right",0.351199984550476,1,13408,1250,0.00638433401667797
"84141","Vedène","84",93,0.125683054327965,37,4922.54449583204,11593,3,"B","Right",0.374199986457825,1,13336,732,0.00751643789737771
"85047","Challans","85",52,0.102315157651901,64,10751.5219988323,20786,3,"C","Right",0.245300009846687,0,12368,1339,0.00595264558887113
"85092","Fontenay-le-Comte","85",52,0.0929411798715591,26,7756.15439664961,14317,2,"C","Right",0.246700003743172,1,13326,850,0.00335217669354688
"85109","Les Herbiers","85",52,0.098173514008522,9,7256.87663497712,16460,3,"I","Right",0.264500021934509,1,11430,876,0.00124020297611527
"85191","La Roche-sur-Yon","85",52,0.113911934196949,186,29717.7150215147,56991,3,"I","Right",0.291399985551834,1,14546,3134,0.00625889304966219
"85194","Les Sables-d'Olonne","85",52,0.107650645077229,155,39725.278668609,14235,4,"I","Right",0.250100016593933,1,17096,1477,0.00390179767631136
"85226","Saint-Hilaire-de-Riez","85",52,0.111282840371132,47,17424.8055235192,11407,3,"C","Right",0.230499997735023,0,12908,647,0.00269730413556476
"86041","Buxerolles","86",75,0.172872334718704,46,5411.33364840774,10206,3,"B","Left",0.261700004339218,1,16390,376,0.00850067709529153
"86066","Châtellerault","86",75,0.128973111510277,114,18370.6081642537,32614,2,"C","Centre & Others",0.268099993467331,1,15464,1636,0.00620556483382112
"86194","Poitiers","86",75,0.12910583615303,224,55364.7385078636,90559,2,"C","Left",0.261700004339218,1,18050,4384,0.00404589646834844
"87085","Limoges","87",75,0.115624114871025,526,82221.2238522883,136059,2,"C","Right",0.263999998569489,1,17632,7066,0.00639737497638039
"87114","Panazol","87",75,0.0883190855383873,36,5033.13969897662,11158,4,"B","Left",0.263999998569489,1,14566,351,0.00715259304392442
"87154","Saint-Junien","87",75,0.0903614461421967,29,6309.14112348067,11529,2,"I","Left",0.259200006723404,0,12532,664,0.00459650520291438
"88160","Épinal","88",44,0.099863201379776,168,18781.6057915046,33894,2,"C","Right",0.230200007557869,0,17720,2193,0.0089449220617755
"88413","Saint-Dié-des-Vosges","88",44,0.0966037735342979,58,11825.9424708128,21112,2,"C","Right",0.293199986219406,0,15206,1325,0.00490447168529255
"89024","Auxerre","89",27,0.0996135696768761,95,20617.1792355591,36569,2,"C","Left",0.252999991178513,1,16024,2329,0.00460780783416533
"89387","Sens","89",27,0.111180514097214,65,14575.1167254725,26568,2,"C","Right",0.2432000041008,1,15828,1601,0.00445965553650774
"90010","Belfort","90",27,0.113294310867786,122,27336.3174040222,50523,2,"C","Right",0.305099993944168,1,16666,2392,0.00446292740155443
"91021","Arpajon","91",11,0.115646257996559,52,5311.37347079175,10606,3,"B","Left",0.24549999833107,1,17196,735,0.00979031135467273
"91027","Athis-Mons","91",11,0.187460020184517,139,14425.6115022053,33180,3,"B","Right",0.254200011491776,1,16624,1563,0.00963564005440951
"91103","Brétigny-sur-Orge","91",11,0.172545284032822,140,11512.4620042318,26666,3,"B","Centre & Others",0.284599989652634,1,17380,1049,0.0121607350320495
"91114","Brunoy","91",11,0.140030443668365,121,11300.9273522378,26518,4,"B","Right",0.249899998307228,1,20590,1314,0.0107070859079578
"91161","Chilly-Mazarin","91",11,0.156937792897224,60,9019.53748855598,20445,3,"B","Right",0.236200004816055,1,16690,1045,0.00665222580161435
"91174","Corbeil-Essonnes","91",11,0.166863903403282,138,22716.9581969624,51060,2,"B","Right",0.250699996948242,1,15766,2535,0.0060747569636525
"91200","Dourdan","91",11,0.140740737318993,22,5144.47566819972,10843,3,"C","Left",0.26120001077652,1,16462,675,0.00427643192794005
"91201","Draveil","91",11,0.129797622561455,112,12285.4530304961,29575,4,"B","Right",0.237900003790855,1,18976,1433,0.0091164729311962
"91215","Épinay-sous-Sénart","91",11,0.185950413346291,10,4674.66832138374,12691,2,"B","Right",0.249899998307228,1,14172,484,0.00213918920284807
"91216","Épinay-sur-Orge","91",11,0.137546464800835,51,4581.50065954863,11129,5,"B","Right",0.23819999396801,1,17869,538,0.0111317238149267
"91223","Étampes","91",11,0.134126991033554,58,11335.3875978911,24621,2,"C","Right",0.293799996376038,1,14698,1260,0.00511671960919895
"91228","Évry","91",11,0.146288886666298,153,27467.384956662,54603,2,"B","Left",0.247000008821487,1,14792,3247,0.00557024268023342
"91272","Gif-sur-Yvette","91",11,0.143626570701599,64,9387.35917955612,21745,6,"B","Right",0.244100004434586,1,25036,1114,0.00681767883553234
"91286","Grigny","91",11,0.176061779260635,184,9984.14321126671,28618,2,"B","Left",0.364399999380112,1,10794,1295,0.0184292228292923
"91312","Igny","91",11,0.141791045665741,36,4407.01496037681,10425,6,"B","Right",0.244100004434586,1,23578,536,0.00816879459762985
"91326","Juvisy-sur-Orge","91",11,0.157293498516083,91,8678.78419878544,16544,4,"B","Right",0.254200011491776,1,19676,1138,0.010485339641552
"91345","Longjumeau","91",11,0.152439028024673,63,9478.5050219736,21949,3,"B","Right",0.240099996328354,1,17892,1148,0.00664661777927531
"91377","Massy","91",11,0.173542603850365,156,23341.2945844736,49020,4,"B","Right",0.236900001764297,1,20056,2230,0.00668343392160303
"91386","Mennecy","91",11,0.141812860965729,46,6164.81081578942,14291,5,"B","Right",0.224399998784065,1,19257,684,0.00746170505057252
"91421","Montgeron","91",11,0.149229526519775,97,10177.9921818396,23974,4,"B","Right",0.237900003790855,1,20892,1233,0.00953036691982091
"91432","Morangis","91",11,0.132653057575226,54,5787.99503366335,13135,4,"B","Left",0.254200011491776,1,16692,882,0.00932965555186771
"91434","Morsang-sur-Orge","91",11,0.149950340390205,89,9116.98849708159,21604,4,"B","Left",0.284599989652634,1,17574,1007,0.00976199542518777
"91471","Orsay","91",11,0.148974135518074,99,7703.31148094252,16856,6,"B","Left",0.244100004434586,1,23266,1121,0.0128516158596104
"91477","Palaiseau","91",11,0.148082599043846,111,17351.167041873,33944,5,"B","Right",0.244100004434586,1,20480,1695,0.00639726421468523
"91521","Ris-Orangis","91",11,0.147968471050262,94,12031.5398981383,28048,2,"B","Left",0.247000008821487,1,16738,1649,0.00781279876024391
"91549","Sainte-Geneviève-des-Bois","91",11,0.128464818000793,266,15203.3331098313,36210,4,"B","Left",0.284599989652634,1,18942,1876,0.0174961633793309
"91570","Saint-Michel-sur-Orge","91",11,0.141519248485565,101,9335.12218888504,20337,4,"B","Right",0.284599989652634,1,17296,961,0.0108193549003843
"91589","Savigny-sur-Orge","91",11,0.128166154026985,152,16733.0255564477,36662,4,"B","Right",0.254200011491776,1,19266,1974,0.00908383241794728
"91645","Verrières-le-Buisson","91",11,0.107414446771145,94,6537.04821931325,15997,6,"B","Right",0.205899998545647,1,30988,1052,0.0143795788016805
"91657","Vigneux-sur-Seine","91",11,0.18242122232914,133,12426.5980111264,30941,2,"B","Right",0.237900003790855,1,15838,1206,0.0107028488312663
"91661","Villebon-sur-Yvette","91",11,0.133786842226982,22,4834,10622,5,"B","Right",0.241399988532066,1,18378,882,0.00455109640049648
"91687","Viry-Châtillon","91",11,0.152709364891052,100,14185.1282470016,31222,3,"B","Right",0.364399999380112,1,16768,1624,0.00704963665176151
"91691","Yerres","91",11,0.141683772206306,109,12717.3338675607,29254,5,"B","Right",0.249899998307228,1,18052,1461,0.00857097888088293
"91692","Les Ulis","91",11,0.15724815428257,35,10141.1884390815,24965,2,"B","Left",0.244100004434586,1,15470,1221,0.00345127202893885
"92002","Antony","92",11,0.156156972050667,285,28841.4153134818,62515,6,"B","Right",0.205899998545647,1,25148,3695,0.00988162324567955
"92004","Asnières-sur-Seine","92",11,0.166565075516701,261,42925.1364609147,87286,4,"B","Right",0.249699994921684,1,27094,6562,0.00608035341338175
"92007","Bagneux","92",11,0.188421621918678,104,18023.5724449907,39722,2,"B","Left",0.208399996161461,1,17102,1831,0.00577022120988588
"92009","Bois-Colombes","92",11,0.15439561009407,85,13843.4193459916,28324,6,"B","Right",0.238600000739098,1,28268,1820,0.00614010150784112
"92012","Boulogne-Billancourt","92",11,0.136585369706154,300,67048.2622266535,119127,6,"B","Right",0.192499995231628,1,33214,14965,0.00447438889595474
"92014","Bourg-la-Reine","92",11,0.147344797849655,91,9940.31423074804,20635,6,"B","Right",0.205899998545647,1,27714,1337,0.00915464017410162
"92019","Châtenay-Malabry","92",11,0.209572151303291,130,15262.1151001763,33757,4,"B","Right",0.205899998545647,1,23397,1379,0.00851782332571311
"92020","Châtillon","92",11,0.176754146814346,141,17821.6086811343,37531,5,"B","Right",0.223299995064735,1,22502,1867,0.00791174368839445
"92022","Chaville","92",11,0.187037035822868,82,9859.68395924379,20308,6,"B","Right",0.192499995231628,1,26746,1080,0.00831669659382157
"92023","Clamart","92",11,0.149543717503548,177,24320.1481311976,53153,5,"B","Right",0.205499991774559,1,24908,3397,0.00727791619710352
"92024","Clichy","92",11,0.17761704325676,155,31066.5776418226,60819,2,"B","Left",0.257999986410141,1,19908,4977,0.00498928468359306
"92025","Colombes","92",11,0.180129244923592,295,37799.849029087,85951,3,"B","Right",0.250699996948242,1,23356,4952,0.00780426397399094
"92026","Courbevoie","92",11,0.133911967277527,231,47957.6090429391,83756,6,"B","Right",0.19760000705719,1,27554,8065,0.00481675389182086
"92032","Fontenay-aux-Roses","92",11,0.197974219918251,72,11637.6080104823,24238,4,"B","Right",0.206399992108345,1,23502,1086,0.00618683838939649
"92033","Garches","92",11,0.127235218882561,59,8344.41682128843,18197,6,"B","Right",0.192199990153313,1,35990,1454,0.00707059597615955
"92035","La Garenne-Colombes","92",11,0.154199168086052,92,14973.2895000489,29963,6,"B","Right",0.218899995088577,1,26352,2179,0.00614427444281362
"92036","Gennevilliers","92",11,0.191439688205719,103,19938.9824264704,44843,2,"B","Left",0.266499996185303,1,14131,2570,0.00516576010735935
"92040","Issy-les-Moulineaux","92",11,0.154897928237915,158,35669.6364462302,69941,6,"B","Right",0.192499995231628,1,26768,5339,0.00442953771727321
"92044","Levallois-Perret","92",11,0.147378295660019,293,35151.867345974,64792,6,"B","Right",0.262499988079071,1,31738,7457,0.00833526131389312
"92046","Malakoff","92",11,0.142857149243355,170,15736.6399978287,30225,4,"B","Left",0.206399992108345,1,20628,2261,0.0108028143252598
"92048","Meudon","92",11,0.152203395962715,211,21221.9780559626,46030,6,"B","Right",0.192499995231628,1,27598,2950,0.00994252276783958
"92049","Montrouge","92",11,0.153825059533119,218,27274.053478388,49255,5,"B","Right",0.179199993610382,1,25000,3647,0.00799294465609021
